# Results from heasarc_mwsc : Milky Way Star Clusters Catalog
# Coordinate system :  Equatorial
# source :  https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dmwsc&Action=More+Options
# notes : queried for Dec < +35 deg
|name             |ra      |dec     |core_radius|central_radius|cluster_radius|rad_vel |rad_vel_error|distance|log_age|log_age_error|cluster_type|class                                              |
|MWSC 5333        |16 48 54|+16 54.0|      0.030|         0.090|         0.170|        |             |    1968|  9.350|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5735        |20 09 22|-12 11.1|      0.018|         0.075|         0.125|        |             |    1970|  9.250|             |            |                                  OPEN STAR CLUSTER|
|NGC 4755         |12 53 38|-60 22.5|      0.035|         0.130|         0.225|  -14.25|         3.15|    1971|  7.300|             |            |                          OB ASSOCIATION/HII REGION|
|FSR 1478         |09 00 08|-52 42.7|      0.015|         0.068|         0.110|        |             |    1976|  8.610|        0.052|            |                                  OPEN STAR CLUSTER|
|Pismis 19        |14 30 36|-60 53.1|      0.030|         0.075|         0.120|        |             |    1978|  9.015|        0.049|            |                                  OPEN STAR CLUSTER|
|Berkeley 44      |19 17 14|+19 32.6|      0.010|         0.105|         0.195|        |             |    1978|  9.150|             |            |                                  OPEN STAR CLUSTER|
|Trumpler 30      |17 56 55|-35 16.2|      0.020|         0.100|         0.190|        |             |    1982|  8.350|             |            |                                  OPEN STAR CLUSTER|
|ESO 062-08       |10 21 40|-69 20.9|      0.012|         0.060|         0.100|        |             |    1983|  9.440|        0.002|            |                                  OPEN STAR CLUSTER|
|ASCC 25          |06 45 32|+24 35.7|      0.020|         0.115|         0.210|   21.50|         2.40|    1989|  9.100|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 79      |09 40 55|-53 51.0|      0.020|         0.090|         0.155|   34.89|        10.31|    1991|  7.265|             |            |                                  OPEN STAR CLUSTER|
|MWSC 5634        |04 35 20|+18 32.4|      0.015|         0.080|         0.155|        |             |    1991|  9.250|             |            |                                  OPEN STAR CLUSTER|
|FSR 0167         |20 04 52|+27 05.6|      0.012|         0.055|         0.110|        |             |    1993|  8.200|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 0952         |06 10 17|+13 01.0|      0.015|         0.100|         0.170|        |             |    1994|  9.105|        0.025|irc         |                                  OPEN STAR CLUSTER|
|FSR 0955         |06 23 51|+14 30.9|      0.010|         0.045|         0.085|        |             |    1994|  7.400|             |            |                                  OPEN STAR CLUSTER|
|MWSC 4288        |16 44 11|-00 08.1|      0.050|         0.200|         0.350|        |             |    1994|  9.015|        0.038|            |                                  OPEN STAR CLUSTER|
|ESO 337-23       |19 19 18|-37 37.2|      0.010|         0.050|         0.100|        |             |    1995|  9.200|             |            |                                  OPEN STAR CLUSTER|
|NGC 3572         |11 10 25|-60 15.0|      0.010|         0.068|         0.120|   -7.95|         2.42|    1997|  6.925|             |            |                                  OPEN STAR CLUSTER|
|Teutsch 61       |07 34 39|-19 48.0|      0.015|         0.060|         0.110|        |             |    1998|  8.215|        0.042|            |                                  OPEN STAR CLUSTER|
|Melotte 101      |10 42 16|-65 05.7|      0.035|         0.140|         0.230|    9.69|         5.00|    1999|  8.100|        0.044|            |                                  OPEN STAR CLUSTER|
|NGC 3446         |10 52 17|-45 07.5|      0.030|         0.125|         0.205|        |             |    2001|  9.105|        0.039|            |                                  OPEN STAR CLUSTER|
|MWSC 5671        |07 05 06|-73 22.8|      0.020|         0.105|         0.210|        |             |    2001|  9.400|             |            |                                  OPEN STAR CLUSTER|
|Teutsch 42       |19 30 13|+18 32.0|      0.010|         0.045|         0.085|        |             |    2003|  6.100|             |            |                                  OPEN STAR CLUSTER|
|NGC 6775         |19 16 48|-00 55.3|      0.018|         0.080|         0.115|        |             |    2004|  8.850|             |non         |                                  OPEN STAR CLUSTER|
|Ruprecht 69      |08 44 29|-47 34.2|      0.015|         0.055|         0.110|        |             |    2010|  9.000|             |non         |                                  OPEN STAR CLUSTER|
|NGC 6755         |19 07 49|+04 16.0|      0.020|         0.100|         0.195|   18.70|         5.80|    2010|  8.000|             |            |                                  OPEN STAR CLUSTER|
|Bochum 10        |10 42 27|-59 06.9|      0.020|         0.110|         0.180|   -2.19|         2.80|    2017|  6.930|             |            |                                  OPEN STAR CLUSTER|
|FSR 1573         |11 44 04|-45 55.5|      0.015|         0.110|         0.170|        |             |    2020|  9.300|             |            |                                  OPEN STAR CLUSTER|
|Pismis 22        |16 14 13|-51 51.9|      0.015|         0.060|         0.130|        |             |    2023|  8.200|             |            |                                  OPEN STAR CLUSTER|
|IRAS 18306-0500  |18 33 20|-04 58.3|      0.010|         0.045|         0.090|   28.34|             |    2023|  7.800|             |irc         |                                  OPEN STAR CLUSTER|
|DBSB 85          |13 18 27|-62 39.9|      0.015|         0.035|         0.065|        |             |    2024|  7.450|             |irc         |                                  OPEN STAR CLUSTER|
|DBSB 123         |17 17 17|-36 20.1|      0.020|         0.060|         0.090|        |             |    2024|  6.000|             |irc         |                                             NEBULA|
|FSR 0804         |04 34 35|+21 40.5|      0.025|         0.063|         0.135|        |             |    2025|  9.100|             |            |                                  OPEN STAR CLUSTER|
|FSR 1110         |06 08 53|-08 56.8|      0.012|         0.050|         0.095|        |             |    2025|  8.650|             |            |                                  OPEN STAR CLUSTER|
|Collinder 104    |06 36 27|+04 46.4|      0.010|         0.055|         0.100|        |             |    2025|  8.500|             |            |                                  OPEN STAR CLUSTER|
|Ivanov 4         |07 00 38|-08 50.4|      0.010|         0.075|         0.155|        |             |    2025|  8.300|        0.055|            |                                  OPEN STAR CLUSTER|
|SAI 113          |10 22 42|-59 29.7|      0.010|         0.050|         0.090|        |             |    2025|  8.960|        0.085|            |                                  OPEN STAR CLUSTER|
|DBSB 156         |16 12 15|-52 02.8|      0.010|         0.040|         0.075|  -68.96|             |    2031|  7.300|             |irc         |                                  OPEN STAR CLUSTER|
|FSR 1063         |06 34 38|-00 16.0|      0.020|         0.090|         0.175|        |             |    2032|  8.860|        0.012|irc         |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 72 |09 31 23|-53 02.1|      0.015|         0.065|         0.090|        |             |    2032|  8.700|             |            |                                  OPEN STAR CLUSTER|
|FSR 0930         |05 40 07|+11 27.6|      0.018|         0.060|         0.140|        |             |    2035|  8.645|             |            |                                  OPEN STAR CLUSTER|
|NGC 6737         |19 02 20|-18 32.0|      0.025|         0.110|         0.170|        |             |    2037|  8.900|             |non         |                                  OPEN STAR CLUSTER|
