# Results from heasarc_mwsc : Milky Way Star Clusters Catalog
# Coordinate system :  Equatorial
# source :  https://heasarc.gsfc.nasa.gov/db-perl/W3Browse/w3table.pl?tablehead=name%3Dmwsc&Action=More+Options
# notes : queried for Dec < +35 deg
|name             |ra      |dec     |core_radius|central_radius|cluster_radius|rad_vel |rad_vel_error|distance|log_age|log_age_error|cluster_type|class                                              |
|NGC 2068         |05 46 43|+00 06.0|      0.020|         0.075|         0.140|   63.30|         7.30|     747|  6.450|             |emb         |                                             NEBULA|
|ASCC 31          |07 01 05|+03 31.8|      0.010|         0.100|         0.170|        |             |     747|  8.400|             |            |                                  OPEN STAR CLUSTER|
|DBSB 36          |09 16 48|-47 56.7|      0.015|         0.070|         0.130|   21.05|             |     748|  7.500|             |irc         |                                  OPEN STAR CLUSTER|
|vdBergh-Hagen 91 |10 16 59|-58 41.7|      0.015|         0.105|         0.150|        |             |     749|  8.350|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 89      |10 28 26|-58 08.1|      0.012|         0.085|         0.155|        |             |     750|  8.980|             |            |                                  OPEN STAR CLUSTER|
|ASCC 96          |18 20 04|-32 21.6|      0.018|         0.100|         0.180|  -35.00|         7.40|     759|  8.400|             |            |                                  OPEN STAR CLUSTER|
|NGC 6025         |16 03 16|-60 24.0|      0.020|         0.190|         0.345|   -3.40|         7.40|     763|  8.180|             |            |                          OB ASSOCIATION/HII REGION|
|Loden 309        |11 09 43|-60 34.2|      0.015|         0.070|         0.105|        |             |     765|  8.050|             |            |                                  OPEN STAR CLUSTER|
|NGC 6639         |18 30 58|-13 08.4|      0.020|         0.100|         0.170|    7.00|         1.80|     765|  8.930|             |            |                                  OPEN STAR CLUSTER|
|ASCC 32          |07 02 06|-26 33.6|      0.020|         0.140|         0.325|        |             |     767|  8.215|             |            |                                  OPEN STAR CLUSTER|
|NGC 6416         |17 44 22|-32 21.9|      0.020|         0.115|         0.240|  -27.52|         9.94|     767|  8.200|             |            |                                  OPEN STAR CLUSTER|
|NGC 2287         |06 46 03|-20 44.7|      0.040|         0.200|         0.440|   24.47|         1.20|     769|  8.250|             |            |                                  OPEN STAR CLUSTER|
|Ruprecht 145     |18 50 38|-18 13.6|      0.020|         0.130|         0.240|   -8.77|         5.16|     770|  8.900|             |            |                                  OPEN STAR CLUSTER|
|ASCC 22          |06 14 31|+00 39.6|      0.015|         0.130|         0.205|   90.30|         3.54|     771|  8.455|             |            |                                  OPEN STAR CLUSTER|
|B 30             |05 31 57|+12 24.6|      0.050|         0.130|         0.320|        |             |     772|  6.000|             |irc         |                                             NEBULA|
